"date","close","volume","open","high","low"
"9:32 ","10.99","4,371","10.94","11.03","10.99"
"2016/09/26","10.9600","674046.0000","10.8700","10.9900","10.8300"
"2016/09/23","10.9800","595123.0000","10.9600","11.1600","10.9500"
"2016/09/22","11.0200","743188.0000","10.8500","11.0250","10.8000"
"2016/09/21","10.7900","799469.0000","10.8200","10.8700","10.5800"
"2016/09/20","10.7100","625910.0000","10.7900","10.8700","10.6500"
"2016/09/19","10.7600","882135.0000","10.8700","10.9099","10.6600"
"2016/09/16","10.8100","1515860.0000","10.9000","11.0300","10.7600"
"2016/09/15","10.9500","1030496.0000","10.8400","11.0300","10.8300"
"2016/09/14","10.8000","2884038.0000","11.5700","11.6800","10.6550"
"2016/09/13","11.5700","1023155.0000","11.7400","11.8800","11.4600"
"2016/09/12","11.8700","1289186.0000","11.4600","11.9500","11.3500"
"2016/09/09","11.5100","1347658.0000","11.7000","11.8000","11.4100"
"2016/09/08","11.8500","4186478.0000","11.6800","12.2600","11.3500"
"2016/09/07","12.3500","2636898.0000","12.7500","12.7600","12.1700"
"2016/09/06","12.6700","3413330.0000","12.2700","12.9000","12.0100"
"2016/09/02","11.5300","455258.0000","11.4900","11.6100","11.4000"
"2016/09/01","11.4300","759718.0000","11.4700","11.5400","11.2300"
"2016/08/31","11.4600","626562.0000","11.4500","11.5400","11.2714"
"2016/08/30","11.4400","397559.0000","11.4300","11.4900","11.3800"
"2016/08/29","11.4900","301223.0000","11.3800","11.5100","11.3500"
"2016/08/26","11.3700","676809.0000","11.5200","11.6000","11.3200"
"2016/08/25","11.5300","555986.0000","11.4000","11.6000","11.3800"
"2016/08/24","11.4200","651503.0000","11.5400","11.6800","11.3600"
"2016/08/23","11.6100","573060.0000","11.6800","11.7600","11.4500"
"2016/08/22","11.6100","886585.0000","11.2200","11.6800","11.1500"
"2016/08/19","11.2000","865297.0000","11.5200","11.5300","11.1900"
"2016/08/18","11.5800","1570014.0000","12.0200","12.2700","11.5350"
"2016/08/17","11.9100","2682883.0000","12.7900","12.8000","11.5800"
